fbgn	protein_id	total_length	disorder_fraction	max_disordered_region	n_disordered_residues	mean_score
FBgn0042110	FBpp0112258	393	0.4758	62	187	0.3975
FBgn0037936	FBpp0081913	449	0.5301	57	238	0.4025
FBgn0037935	FBpp0081914	895	0.4156	68	372	0.3856
FBgn0037934	FBpp0081915	891	0.3973	49	354	0.3905
FBgn0011290	FBpp0081916	196	0.7500	45	147	0.4595
FBgn0037931	FBpp0081919	936	0.7094	134	664	0.4422
FBgn0037923	FBpp0289808	294	0.6088	62	179	0.4378
FBgn0037921	FBpp0081927	375	0.7440	91	279	0.4634
FBgn0051363	FBpp0081930	208	0.8750	76	182	0.4791
FBgn0037918	FBpp0081934	1243	0.6340	71	788	0.4385
FBgn0037915	FBpp0081936	897	0.1538	29	138	0.2822
FBgn0037950	FBpp0081946	426	0.3169	21	135	0.3414
FBgn0019624	FBpp0081947	149	0.3423	27	51	0.3800
FBgn0003312	FBpp0081949	520	0.3596	28	187	0.3679
FBgn0051368	FBpp0290264	1486	0.5020	98	746	0.4104
FBgn0037964	FBpp0081952	641	0.3619	42	232	0.3680
FBgn0051211	FBpp0081954	893	0.7816	191	698	0.5100
FBgn0013276	FBpp0081956	642	0.4984	61	320	0.3960
FBgn0000147	FBpp0081957	411	0.5377	65	221	0.4218
FBgn0037970	FBpp0081959	319	0.2132	22	68	0.3183
FBgn0037976	FBpp0307416	297	0.5488	56	163	0.4042
FBgn0037975	FBpp0081978	342	0.2924	25	100	0.3523
FBgn0037974	FBpp0423282	340	0.2294	25	78	0.3429
FBgn0037973	FBpp0081980	345	0.3913	22	135	0.3674
FBgn0037972	FBpp0081981	231	0.6710	39	155	0.4203
FBgn0013275	FBpp0081986	642	0.4984	61	320	0.3960
FBgn0037963	FBpp0081987	1975	0.4770	64	942	0.3872
FBgn0037962	FBpp0081988	250	0.7120	78	178	0.4564
FBgn0037960	FBpp0310692	497	0.2455	27	122	0.2917
FBgn0037958	FBpp0081990	767	0.3520	42	270	0.3551
FBgn0037956	FBpp0081991	425	0.4706	39	200	0.3594
FBgn0037955	FBpp0081993	450	0.4733	42	213	0.3819
FBgn0051116	FBpp0082002	1193	0.5122	139	611	0.3900
FBgn0025802	FBpp0082003	1993	0.4747	69	946	0.3912
FBgn0037949	FBpp0082005	1354	0.6233	114	844	0.4338
FBgn0017581	FBpp0082008	1142	0.7102	124	811	0.4750
FBgn0037979	FBpp0112136	1135	0.8890	245	1009	0.4939
FBgn0037981	FBpp0082011	384	0.6380	50	245	0.4165
FBgn0037985	FBpp0082012	711	0.5429	64	386	0.4173
FBgn0051361	FBpp0082016	664	0.5090	47	338	0.4022
FBgn0037995	FBpp0082018	396	0.2374	32	94	0.3291
FBgn0037994	FBpp0082019	551	0.5681	39	313	0.4277
FBgn0037993	FBpp0082022	662	0.5559	74	368	0.4175
FBgn0037992	FBpp0300611	314	0.3758	32	118	0.3676
FBgn0037989	FBpp0289580	1726	0.4988	119	861	0.3940
FBgn0037988	FBpp0082025	478	0.4184	50	200	0.3709
FBgn0037987	FBpp0082026	206	0.3010	21	62	0.3727
FBgn0051358	FBpp0082027	474	0.5907	162	280	0.4415
FBgn0037980	FBpp0082028	459	0.4466	90	205	0.3925
FBgn0037978	FBpp0082029	575	0.3548	21	204	0.3587
FBgn0038000	FBpp0082031	421	0.6532	65	275	0.4283
FBgn0038003	FBpp0082032	267	0.4007	44	107	0.3771
FBgn0038008	FBpp0082033	739	0.3437	46	254	0.3815
FBgn0003651	FBpp0428128	826	0.4782	67	395	0.3880
FBgn0038009	FBpp0082037	110	0.1818	19	20	0.2666
FBgn0038011	FBpp0082038	588	0.7432	254	437	0.4963
FBgn0038012	FBpp0082039	465	0.4065	48	189	0.3925
FBgn0038017	FBpp0082040	220	0.6818	50	150	0.4205
FBgn0010038	FBpp0082041	215	0.4000	24	86	0.3598
FBgn0010039	FBpp0082042	199	0.4221	24	84	0.3697
FBgn0010040	FBpp0082043	215	0.4698	36	101	0.3772
FBgn0010041	FBpp0082044	216	0.3981	22	86	0.3666
FBgn0010042	FBpp0082045	215	0.4140	28	89	0.3661
FBgn0010043	FBpp0082046	224	0.3973	47	89	0.3721
FBgn0010044	FBpp0082047	212	0.3679	33	78	0.3454
FBgn0038029	FBpp0113057	243	0.1728	12	42	0.3293
FBgn0053098	FBpp0082051	230	0.7130	50	164	0.4426
FBgn0038038	FBpp0082055	431	0.4246	54	183	0.3794
FBgn0038039	FBpp0082056	427	0.4145	39	177	0.3632
FBgn0082831	FBpp0293286	2018	0.7384	147	1490	0.4795
FBgn0038043	FBpp0082059	181	0.7624	41	138	0.4785
FBgn0038045	FBpp0082060	372	0.4194	60	156	0.3763
FBgn0038047	FBpp0082061	501	0.8882	227	445	0.4901
FBgn0038049	FBpp0082063	378	0.5423	62	205	0.4080
FBgn0043043	FBpp0082064	361	0.2355	23	85	0.3203
FBgn0029512	FBpp0082065	337	0.4006	28	135	0.3690
FBgn0038046	FBpp0082066	396	0.3409	36	135	0.3651
FBgn0004103	FBpp0082067	302	0.2417	17	73	0.3332
FBgn0038042	FBpp0082068	352	0.2784	25	98	0.3415
FBgn0000455	FBpp0082069	491	0.1670	18	82	0.3311
FBgn0038037	FBpp0082070	516	0.3547	30	183	0.3627
FBgn0038034	FBpp0422628	433	0.4134	24	179	0.3636
FBgn0038028	FBpp0082076	286	0.4161	44	119	0.3500
FBgn0038020	FBpp0082078	218	0.3303	20	72	0.3533
FBgn0042206	FBpp0082079	210	0.4667	30	98	0.3876
FBgn0038018	FBpp0082080	222	0.3063	37	68	0.3282
FBgn0038016	FBpp0082081	1169	0.7143	186	835	0.4515
FBgn0038014	FBpp0423040	287	0.3902	22	112	0.3696
FBgn0038013	FBpp0082085	325	0.4862	36	158	0.4079
FBgn0038007	FBpp0082086	492	0.4167	41	205	0.3679
FBgn0038006	FBpp0300785	493	0.3692	38	182	0.3630
FBgn0038005	FBpp0082088	487	0.3203	34	156	0.3502
FBgn0011270	FBpp0082089	292	0.5856	77	171	0.4223
FBgn0038001	FBpp0291517	275	0.3382	26	93	0.3546
FBgn0037999	FBpp0082092	415	0.2988	31	124	0.3501
FBgn0037998	FBpp0082093	886	0.4402	53	390	0.3953
FBgn0037996	FBpp0082094	534	0.3408	51	182	0.3690
FBgn0038053	FBpp0082101	436	0.1583	13	69	0.2572
FBgn0038054	FBpp0082102	139	0.8058	65	112	0.4421
FBgn0038055	FBpp0082103	485	0.5320	46	258	0.4095
FBgn0038057	FBpp0082104	522	0.4330	42	226	0.3845
FBgn0051354	FBpp0082105	641	0.5148	61	330	0.4021
FBgn0013278	FBpp0082106	641	0.5117	61	328	0.4018
FBgn0013279	FBpp0082107	641	0.5117	61	328	0.4018
FBgn0028374	FBpp0082108	191	0.4817	24	92	0.3808
FBgn0038065	FBpp0082110	167	0.6886	74	115	0.4314
FBgn0260444	FBpp0082112	635	0.3213	38	204	0.3710
FBgn0042207	FBpp0082113	389	0.2108	20	82	0.3338
FBgn0038067	FBpp0110078	388	0.2448	20	95	0.3348
FBgn0038068	FBpp0292848	406	0.2660	49	108	0.3397
FBgn0038069	FBpp0292849	430	0.2581	14	111	0.3473
FBgn0038071	FBpp0082117	612	0.7484	129	458	0.4715
FBgn0038072	FBpp0082118	704	0.3665	35	258	0.3642
FBgn0038073	FBpp0289993	1073	0.6337	130	680	0.4408
FBgn0038074	FBpp0082120	289	0.2630	18	76	0.3452
FBgn0011745	FBpp0082121	376	0.3564	28	134	0.3716
FBgn0038079	FBpp0112140	138	0.2536	21	35	0.3017
FBgn0016693	FBpp0082123	540	0.4185	50	226	0.3687
FBgn0038080	FBpp0082125	110	0.5818	26	64	0.4009
FBgn0038082	FBpp0082126	530	0.2981	23	158	0.3421
FBgn0038084	FBpp0423046	297	0.4007	29	119	0.3618
FBgn0038083	FBpp0291574	530	0.4000	37	212	0.3667
FBgn0002719	FBpp0082129	763	0.4115	121	314	0.3936
FBgn0002905	FBpp0082131	2059	0.4313	234	888	0.4009
FBgn0038078	FBpp0082132	135	0.4000	24	54	0.3768
FBgn0051347	FBpp0082133	143	0.6853	47	98	0.4299
FBgn0005355	FBpp0082134	468	0.4509	67	211	0.4028
FBgn0001296	FBpp0291719	612	0.2794	46	171	0.3082
FBgn0038076	FBpp0082136	494	0.3077	30	152	0.3453
FBgn0026207	FBpp0082137	702	0.4758	84	334	0.3982
FBgn0038070	FBpp0290373	405	0.3062	32	124	0.3579
FBgn0005671	FBpp0082139	490	0.3000	17	147	0.3634
FBgn0013277	FBpp0082147	641	0.5117	115	328	0.4010
FBgn0038058	FBpp0082148	687	0.3610	42	248	0.3663
FBgn0038056	FBpp0082149	442	0.5294	52	234	0.4149
FBgn0038051	FBpp0082150	220	0.0045	1	1	0.2428
FBgn0038089	FBpp0082151	219	0.1963	12	43	0.3328
FBgn0038092	FBpp0082152	328	0.4207	29	138	0.3790
FBgn0038090	FBpp0082153	349	0.5444	74	190	0.4131
FBgn0038088	FBpp0082155	227	0.5683	25	129	0.3950
FBgn0051345	FBpp0082157	213	0.5493	28	117	0.4032
FBgn0038095	FBpp0082159	510	0.2431	22	124	0.3314
FBgn0038099	FBpp0289506	509	0.2083	35	106	0.2834
FBgn0038100	FBpp0082161	124	0.5968	69	74	0.4346
FBgn0051342	FBpp0112315	994	0.6610	161	657	0.4636
FBgn0038106	FBpp0082163	373	0.5603	31	209	0.4138
FBgn0038108	FBpp0306577	2464	0.6116	157	1507	0.4448
FBgn0038109	FBpp0082166	291	0.8763	88	255	0.4973
FBgn0002354	FBpp0082171	110	0.4455	37	49	0.3759
FBgn0003308	FBpp0082172	1335	0.2772	37	370	0.3527
FBgn0038113	FBpp0082173	398	0.3040	43	121	0.3675
FBgn0038114	FBpp0423257	431	0.5545	104	239	0.4362
FBgn0001217	FBpp0082175	633	0.5624	76	356	0.4063
FBgn0051157	FBpp0306585	387	0.1602	14	62	0.3117
FBgn0004666	FBpp0082178	688	0.4491	80	309	0.4070
FBgn0038118	FBpp0082180	1384	0.5556	113	769	0.4304
FBgn0038115	FBpp0082183	486	0.4218	23	205	0.3713
FBgn0003450	FBpp0082184	435	0.2874	28	125	0.3477
FBgn0038110	FBpp0082187	295	0.3322	26	98	0.3536
FBgn0038107	FBpp0082189	139	0.3813	16	53	0.3658
FBgn0038105	FBpp0082190	452	0.4646	50	210	0.3850
FBgn0041710	FBpp0082191	429	0.4312	29	185	0.3785
FBgn0038102	FBpp0082192	332	0.5211	38	173	0.4075
FBgn0038098	FBpp0082195	712	0.5857	81	417	0.4252
FBgn0040493	FBpp0310520	655	0.3649	99	239	0.3751
FBgn0038097	FBpp0082199	165	0.7939	86	131	0.4567
FBgn0038122	FBpp0082200	233	0.5923	35	138	0.4161
FBgn0038124	FBpp0289992	168	0.1012	15	17	0.2573
FBgn0038125	FBpp0082202	239	0.4854	43	116	0.3776
FBgn0040551	FBpp0082203	70	0.0000	0	0	0.1523
FBgn0003598	FBpp0082204	1250	0.7136	173	892	0.4680
FBgn0038130	FBpp0082205	408	0.2549	26	104	0.3273
FBgn0038133	FBpp0082206	332	0.6386	123	212	0.4414
FBgn0038135	FBpp0288476	994	0.3833	72	381	0.3761
FBgn0038136	FBpp0082209	942	0.3800	45	358	0.3707
FBgn0052473	FBpp0082211	1025	0.5024	55	515	0.3929
FBgn0038140	FBpp0082213	660	0.4121	49	272	0.3587
FBgn0045442	FBpp0082214	488	0.2582	23	126	0.3136
FBgn0027610	FBpp0082215	280	0.1964	25	55	0.3241
FBgn0038142	FBpp0082217	183	0.6230	42	114	0.4171
FBgn0038144	FBpp0082218	356	0.4635	28	165	0.3872
FBgn0038145	FBpp0082219	403	0.5980	40	241	0.4234
FBgn0038148	FBpp0082224	105	0.0095	1	1	0.2642
FBgn0041711	FBpp0082225	530	0.4113	33	218	0.3781
FBgn0038151	FBpp0291732	435	0.3862	33	168	0.3561
FBgn0038150	FBpp0082227	409	0.3765	36	154	0.3700
FBgn0038149	FBpp0082228	250	0.4480	62	112	0.3754
FBgn0040553	FBpp0082229	99	0.0101	1	1	0.2461
FBgn0038147	FBpp0082230	136	0.3235	24	44	0.3698
FBgn0038146	FBpp0082231	922	0.3796	52	350	0.3838
FBgn0044511	FBpp0082232	87	0.8046	59	70	0.4723
FBgn0038143	FBpp0307437	567	0.6702	121	380	0.4653
FBgn0023495	FBpp0082239	394	0.3756	40	148	0.3545
FBgn0038134	FBpp0082243	309	0.5081	42	157	0.3949
FBgn0038132	FBpp0082244	137	0.2117	14	29	0.2459
FBgn0038129	FBpp0082246	654	0.4878	46	319	0.3939
FBgn0038128	FBpp0082247	359	0.7521	116	270	0.4746
FBgn0000024	FBpp0082248	649	0.3421	31	222	0.3576
FBgn0038127	FBpp0082249	242	0.6860	57	166	0.4325
FBgn0038126	FBpp0082250	392	0.6888	89	270	0.4736
FBgn0038123	FBpp0082251	267	0.5805	36	155	0.4287
FBgn0038153	FBpp0307899	796	0.5151	103	410	0.3962
FBgn0000046	FBpp0082253	376	0.3085	25	116	0.3524
FBgn0038158	FBpp0082256	132	0.1439	8	19	0.2637
FBgn0038159	FBpp0082257	112	0.1786	6	20	0.3085
FBgn0051337	FBpp0082258	104	0.3846	19	40	0.3537
FBgn0038157	FBpp0082259	194	0.6443	45	125	0.4366
FBgn0004049	FBpp0082261	972	0.6481	77	630	0.4476
FBgn0038161	FBpp0082262	146	0.1781	26	26	0.2679
FBgn0038163	FBpp0082263	728	0.4107	36	299	0.3675
FBgn0015778	FBpp0082265	690	0.7638	202	527	0.4899
FBgn0038167	FBpp0082280	567	0.4039	48	229	0.3825
FBgn0024555	FBpp0082285	980	0.5337	113	523	0.4186
FBgn0038170	FBpp0082287	310	0.7290	110	226	0.4461
FBgn0002937	FBpp0082288	620	0.3548	51	220	0.3673
FBgn0038173	FBpp0082289	506	0.3241	53	164	0.3532
FBgn0038179	FBpp0082293	211	0.6682	99	141	0.4568
FBgn0038180	FBpp0082294	595	0.4773	153	284	0.4180
FBgn0038181	FBpp0082296	952	0.5914	122	563	0.4252
FBgn0260464	FBpp0082297	214	0.4112	40	88	0.3958
FBgn0038183	FBpp0082298	297	0.5589	52	166	0.4140
FBgn0000454	FBpp0082299	508	0.2343	22	119	0.3426
FBgn0038172	FBpp0082310	502	0.5239	58	263	0.3922
FBgn0028487	FBpp0306593	802	0.5125	116	411	0.4157
FBgn0038168	FBpp0082313	994	0.3410	41	339	0.3642
FBgn0038166	FBpp0082314	220	0.4227	29	93	0.3786
FBgn0038165	FBpp0290868	408	0.3701	41	151	0.3496
FBgn0004237	FBpp0082316	385	0.4831	32	186	0.4074
FBgn0010258	FBpp0082318	428	0.5164	58	221	0.3942
FBgn0003060	FBpp0082323	127	0.0000	0	0	0.2026
FBgn0038160	FBpp0082324	112	0.2589	29	29	0.3257
FBgn0000576	FBpp0082326	494	0.6842	93	338	0.4561
FBgn0047199	FBpp0082327	63	0.9365	34	59	0.4907
FBgn0016672	FBpp0082328	375	0.1787	21	67	0.3270
FBgn0015270	FBpp0082329	618	0.6133	116	379	0.4443
FBgn0038195	FBpp0082332	370	0.7108	71	263	0.4522
FBgn0038196	FBpp0082333	124	0.7016	45	87	0.4751
FBgn0038191	FBpp0082339	892	0.4226	33	377	0.3864
FBgn0038190	FBpp0082340	231	0.5974	57	138	0.4311
FBgn0038189	FBpp0082341	341	0.3754	33	128	0.3620
FBgn0038188	FBpp0082342	313	0.2684	22	84	0.3388
FBgn0008646	FBpp0082343	524	0.7634	96	400	0.5086
FBgn0038186	FBpp0082344	206	0.3252	17	67	0.3561
FBgn0051495	FBpp0082345	341	0.4106	26	140	0.3823
FBgn0002862	FBpp0082347	56	0.0000	0	0	0.1983
FBgn0038197	FBpp0293589	622	0.7942	110	494	0.4906
FBgn0038198	FBpp0082349	159	0.3333	28	53	0.3501
FBgn0038203	FBpp0082351	401	0.2943	34	118	0.3226
FBgn0038206	FBpp0082352	343	0.5539	53	190	0.4122
FBgn0038210	FBpp0082355	232	0.5819	36	135	0.4225
FBgn0027083	FBpp0082356	582	0.5206	52	303	0.4047
FBgn0038214	FBpp0289336	155	0.4645	37	72	0.3732
FBgn0038213	FBpp0082358	289	0.5433	47	157	0.4104
FBgn0027563	FBpp0082359	439	0.4146	66	182	0.3879
FBgn0053329	FBpp0289635	516	0.5252	71	271	0.3966
FBgn0053109	FBpp0082361	296	0.7230	87	214	0.4403
FBgn0051326	FBpp0082362	520	0.5212	134	271	0.4202
FBgn0038211	FBpp0082363	504	0.4901	106	247	0.4214
FBgn0011582	FBpp0303554	560	0.2661	41	149	0.3102
FBgn0051327	FBpp0082365	861	0.6167	97	531	0.4346
FBgn0051533	FBpp0082366	844	0.6185	96	522	0.4323
FBgn0038209	FBpp0082367	264	0.0871	19	23	0.2304
FBgn0038208	FBpp0082368	1024	0.6270	67	642	0.4286
FBgn0038207	FBpp0082369	151	0.5099	32	77	0.4022
FBgn0010340	FBpp0082370	261	0.4368	51	114	0.3566
FBgn0020510	FBpp0297920	477	0.7631	112	364	0.4635
FBgn0038205	FBpp0089282	750	0.6760	92	507	0.4430
FBgn0038204	FBpp0290495	319	0.7116	78	227	0.4464
FBgn0038202	FBpp0312362	671	0.4143	45	278	0.3816
FBgn0038200	FBpp0082377	102	0.2059	9	21	0.3441
FBgn0038199	FBpp0112144	182	0.7088	104	129	0.4433
FBgn0038219	FBpp0082379	282	0.6348	43	179	0.4309
FBgn0038221	FBpp0082383	588	0.7806	262	459	0.5308
FBgn0004855	FBpp0082384	129	0.5969	26	77	0.4183
FBgn0051321	FBpp0082385	601	0.2113	67	127	0.3065
FBgn0013767	FBpp0082386	154	0.5974	49	92	0.4188
FBgn0011474	FBpp0082388	691	0.6469	90	447	0.4463
FBgn0038224	FBpp0082390	81	0.6543	50	53	0.4448
FBgn0003480	FBpp0082392	341	0.3431	25	117	0.3594
FBgn0038225	FBpp0082399	147	0.6395	39	94	0.4348
FBgn0024321	FBpp0082400	721	0.8682	254	626	0.5235
FBgn0038223	FBpp0423206	1161	0.6951	140	807	0.4603
FBgn0003567	FBpp0082405	941	0.7003	142	659	0.4623
FBgn0038218	FBpp0082410	274	0.4708	48	129	0.3919
FBgn0038217	FBpp0082411	300	0.6567	46	197	0.4179
FBgn0038234	FBpp0082412	196	0.3469	28	68	0.3898
FBgn0038236	FBpp0082413	492	0.3699	34	182	0.3596
FBgn0038239	FBpp0082414	158	0.7405	113	117	0.5297
FBgn0038240	FBpp0082415	152	0.7303	92	111	0.4875
FBgn0038242	FBpp0082416	174	0.8678	151	151	0.6176
FBgn0020299	FBpp0306971	1220	0.7426	160	906	0.4705
FBgn0038246	FBpp0082419	374	0.5160	35	193	0.4027
FBgn0013981	FBpp0082421	103	0.4854	21	50	0.3884
FBgn0038247	FBpp0310684	1981	0.4886	48	968	0.3973
FBgn0038250	FBpp0082425	360	0.3972	46	143	0.3635
FBgn0038251	FBpp0082427	360	0.8306	74	299	0.5094
FBgn0038252	FBpp0082428	353	0.8584	99	303	0.5437
FBgn0025808	FBpp0082433	535	0.4953	56	265	0.4097
FBgn0038248	FBpp0082435	818	0.7005	283	573	0.4645
FBgn0003169	FBpp0303260	520	0.4923	56	256	0.3873
FBgn0038244	FBpp0082437	1283	0.6477	164	831	0.4493
FBgn0004629	FBpp0082439	126	0.4365	39	55	0.3634
FBgn0038243	FBpp0082440	104	0.5481	39	57	0.4053
FBgn0051313	FBpp0082441	124	0.4355	44	54	0.3775
FBgn0038241	FBpp0082442	142	0.6408	78	91	0.4629
FBgn0038238	FBpp0112145	186	0.5806	80	108	0.4103
FBgn0038237	FBpp0303081	1124	0.5018	159	564	0.4078
FBgn0038235	FBpp0082445	244	0.9754	197	238	0.5606
FBgn0038233	FBpp0082446	422	0.3697	38	156	0.3734
FBgn0038260	FBpp0082450	556	0.2806	55	156	0.3077
FBgn0038261	FBpp0082451	557	0.2388	48	133	0.3033
FBgn0038262	FBpp0082452	560	0.1964	34	110	0.2944
FBgn0038266	FBpp0082453	488	0.7316	60	357	0.4568
FBgn0038268	FBpp0082456	421	0.4466	33	188	0.3736
FBgn0067628	FBpp0082457	342	0.3626	42	124	0.3723
FBgn0067629	FBpp0082458	349	0.8395	136	293	0.5560
FBgn0038271	FBpp0082459	470	0.4043	21	190	0.3614
FBgn0038273	FBpp0288414	263	0.7643	71	201	0.4749
FBgn0038275	FBpp0082462	276	0.9493	151	262	0.5166
FBgn0038279	FBpp0082463	868	0.4182	135	363	0.3873
FBgn0028662	FBpp0082464	212	0.0660	7	14	0.2162
FBgn0038277	FBpp0082465	230	0.5217	32	120	0.4090
FBgn0038274	FBpp0082467	796	0.4774	52	380	0.3834
FBgn0038272	FBpp0082468	469	0.3603	52	169	0.3676
FBgn0004597	FBpp0082469	267	0.3034	22	81	0.3598
FBgn0038269	FBpp0112147	900	0.6367	176	573	0.4632
FBgn0038258	FBpp0304089	793	0.5549	117	440	0.4499
FBgn0038257	FBpp0307825	306	0.3235	22	99	0.3730
FBgn0011217	FBpp0082477	147	0.4286	27	63	0.3916
FBgn0038256	FBpp0082478	351	0.1994	25	70	0.2676
FBgn0038280	FBpp0082482	364	0.6374	109	232	0.4241
FBgn0038281	FBpp0082483	216	0.2639	21	57	0.3590
FBgn0038291	FBpp0082484	537	0.6369	229	342	0.4455
FBgn0038292	FBpp0082485	404	0.5990	63	242	0.4302
FBgn0038296	FBpp0082488	1332	0.3889	48	518	0.3743
FBgn0038294	FBpp0082490	365	0.8493	99	310	0.4742
FBgn0038290	FBpp0082497	433	0.6397	90	277	0.4493
FBgn0038286	FBpp0112148	664	0.2620	52	174	0.3540
FBgn0038285	FBpp0082501	251	0.6932	93	174	0.4128
FBgn0038300	FBpp0082507	632	0.3101	20	196	0.3594
FBgn0038302	FBpp0082508	174	0.4713	20	82	0.3909
FBgn0038304	FBpp0082510	804	0.4192	41	337	0.3752
FBgn0038307	FBpp0082513	173	0.7052	44	122	0.4345
FBgn0014879	FBpp0082521	269	0.8773	70	236	0.4841
FBgn0016691	FBpp0082522	209	0.3254	33	68	0.3586
FBgn0038312	FBpp0288457	366	0.2923	29	107	0.2998
FBgn0038313	FBpp0082525	274	0.4818	60	132	0.4294
FBgn0004117	FBpp0082535	284	0.9261	150	263	0.5173
FBgn0038315	FBpp0271913	455	0.7319	77	333	0.4476
FBgn0026441	FBpp0303072	945	0.8011	304	757	0.5393
FBgn0000533	FBpp0082539	392	0.3291	34	129	0.3709
FBgn0038319	FBpp0082540	248	0.6532	50	162	0.4394
FBgn0038320	FBpp0082541	1291	0.3912	37	505	0.3834
FBgn0021750	FBpp0082542	417	0.5420	55	226	0.4149
FBgn0051301	FBpp0082543	439	0.5877	52	258	0.4273
FBgn0038324	FBpp0082545	705	0.2142	22	151	0.2983
FBgn0038326	FBpp0082547	386	0.4948	43	191	0.3881
FBgn0038327	FBpp0082549	298	0.6040	49	180	0.4331
FBgn0038331	FBpp0082550	208	0.5673	34	118	0.4194
FBgn0041188	FBpp0082555	1084	0.8007	140	868	0.5177
FBgn0038339	FBpp0112152	967	0.7828	208	757	0.4975
FBgn0038337	FBpp0082560	640	0.2031	31	130	0.2916
FBgn0038334	FBpp0082561	256	0.6602	67	169	0.4402
FBgn0038332	FBpp0292327	263	0.1445	7	38	0.3392
FBgn0038330	FBpp0082563	518	0.6429	76	333	0.4268
FBgn0026737	FBpp0111839	255	0.9490	81	242	0.5028
FBgn0026634	FBpp0082568	710	0.5099	45	362	0.4011
FBgn0038325	FBpp0082569	668	0.5569	59	372	0.4152
FBgn0019925	FBpp0082571	270	0.1778	13	48	0.2464
FBgn0038321	FBpp0082573	348	0.3333	48	116	0.3594
FBgn0013269	FBpp0082574	357	0.5854	153	209	0.4603
FBgn0038318	FBpp0082575	680	0.4088	42	278	0.3740
FBgn0038316	FBpp0082577	470	0.7277	109	342	0.4525
FBgn0011476	FBpp0428223	105	0.7524	69	79	0.4985
FBgn0027378	FBpp0306049	429	0.6410	190	275	0.4758
FBgn0000283	FBpp0082580	1096	0.7828	142	858	0.4839
FBgn0038311	FBpp0082582	547	0.8958	126	490	0.5216
FBgn0038309	FBpp0112150	562	0.1975	33	111	0.2770
FBgn0045035	FBpp0110174	2767	0.3997	66	1106	0.3781
FBgn0038306	FBpp0082588	516	0.5039	63	260	0.4005
FBgn0051344	FBpp0082590	403	0.3648	45	147	0.3508
FBgn0051155	FBpp0082591	173	0.2023	18	35	0.3131
FBgn0038303	FBpp0082592	1145	0.3965	58	454	0.3897
FBgn0038301	FBpp0082593	639	0.7684	100	491	0.4611
FBgn0038299	FBpp0082594	426	0.5446	36	232	0.3941
FBgn0028984	FBpp0082595	427	0.5199	42	222	0.4047
FBgn0000047	FBpp0082597	376	0.3005	25	113	0.3532
FBgn0038342	FBpp0082599	241	0.5062	42	122	0.4189
FBgn0019940	FBpp0428299	369	0.1572	19	58	0.2873
FBgn0038344	FBpp0082601	2183	0.3949	83	862	0.3817
FBgn0038345	FBpp0082602	251	0.6175	54	155	0.4557
FBgn0038350	FBpp0082604	1256	0.3662	49	460	0.3669
FBgn0038349	FBpp0082605	1254	0.3708	45	465	0.3736
FBgn0038348	FBpp0311435	1264	0.3117	39	394	0.3586
FBgn0051296	FBpp0082609	280	0.2500	17	70	0.3318
FBgn0038343	FBpp0289411	108	0.3889	21	42	0.3681
FBgn0053207	FBpp0082616	636	0.6588	85	419	0.4400
FBgn0051446	FBpp0306143	237	0.2954	12	70	0.3278
FBgn0038353	FBpp0082618	218	0.3991	30	87	0.3584
FBgn0038354	FBpp0082619	627	0.2041	31	128	0.2929
FBgn0038355	FBpp0082621	320	0.3344	37	107	0.3617
FBgn0038356	FBpp0082623	101	0.0693	6	7	0.2377
FBgn0038358	FBpp0082624	570	0.3333	31	190	0.3589
FBgn0038359	FBpp0082625	358	0.8492	108	304	0.5146
FBgn0038360	FBpp0082626	460	0.5348	46	246	0.4165
FBgn0038361	FBpp0082627	253	0.2767	12	70	0.3616
FBgn0038363	FBpp0082628	102	0.6176	38	63	0.3892
FBgn0038365	FBpp0298032	382	0.5105	64	195	0.4109
FBgn0026616	FBpp0082633	1249	0.5356	103	669	0.4126
FBgn0038366	FBpp0082634	676	0.2234	49	151	0.2914
FBgn0038369	FBpp0289797	177	0.5537	41	98	0.4069
FBgn0003483	FBpp0082637	1434	0.4993	83	716	0.3905
FBgn0038373	FBpp0082638	457	0.5361	57	245	0.3989
FBgn0038377	FBpp0082639	218	0.8303	109	181	0.5118
FBgn0051183	FBpp0082641	1417	0.4778	67	677	0.3956
FBgn0038376	FBpp0082642	866	0.2679	39	232	0.3137
FBgn0038371	FBpp0082644	363	0.6116	110	222	0.4314
FBgn0017567	FBpp0082645	217	0.4700	25	102	0.3919
FBgn0003227	FBpp0082647	885	0.4395	55	389	0.3858
FBgn0000246	FBpp0082648	744	0.8562	120	637	0.5095
FBgn0038357	FBpp0082651	279	0.2151	22	60	0.3350
FBgn0051294	FBpp0082652	225	0.6222	68	140	0.4285
FBgn0038381	FBpp0082654	322	0.3944	28	127	0.3711
FBgn0038385	FBpp0082655	772	0.4456	65	344	0.3993
FBgn0038387	FBpp0082657	141	0.8085	39	114	0.4716
FBgn0013334	FBpp0082658	551	0.4936	44	272	0.4008
FBgn0038389	FBpp0082666	176	0.8977	142	158	0.5995
FBgn0038390	FBpp0082667	783	0.5032	103	394	0.3910
FBgn0022787	FBpp0290929	1923	0.4030	78	775	0.3708
FBgn0038391	FBpp0082672	746	0.8056	87	601	0.4929
FBgn0003117	FBpp0082675	540	0.4778	100	258	0.4013
FBgn0038394	FBpp0082676	270	0.3370	32	91	0.3544
FBgn0038396	FBpp0082677	247	0.1822	11	45	0.3142
FBgn0027948	FBpp0293341	2082	0.5086	72	1059	0.4013
