"Probe","gene","FBgn ID","stage/tissue","term"
"LD16456","Nlp","FBcl0151609","stage 4-5","Embryonic localization patterns"
"LD16456","Nlp","FBcl0151609","stage 4-5","Weak expression (>41ms exp)"
"LD16456","Nlp","FBcl0151609","stage 4-5","Exclusionary patterns"
"LD16456","Nlp","FBcl0151609","stage 4-5","Pole cell exclusion"
"LD16456","Nlp","FBcl0151609","stage 4-5","Expressed"
"LD16456","Nlp","FBcl0151609","stage 4-5","Stage 4-5"
"LD16456","Nlp","FBcl0151609","stage 6-7","Stage 6-7"
"LD16456","Nlp","FBcl0151609","stage 6-7","Weak expression (>41ms exp)"
"LD16456","Nlp","FBcl0151609","stage 6-7","Subset blastoderm nuclei"
"LD16456","Nlp","FBcl0151609","stage 6-7","Blastoderm nuclei"
"LD16456","Nlp","FBcl0151609","stage 6-7","Zygotic"
"LD16456","Nlp","FBcl0151609","stage 6-7","Localized"
"LD16456","Nlp","FBcl0151609","stage 6-7","Expression in mesoderm"
"LD16456","Nlp","FBcl0151609","stage 6-7","Expressed"
"LD16456","Nlp","FBcl0151609","stage 8-9","Expressed"
"LD16456","Nlp","FBcl0151609","stage 8-9","Stage 8-9"
"LD16456","Nlp","FBcl0151609","stage 8-9","Ubiquitous"
"LD16456","Nlp","FBcl0151609","stage 10-17","Subcellular localization patterns"
"LD16456","Nlp","FBcl0151609","stage 10-17","Blastoderm nuclei"
"LD16456","Nlp","FBcl0151609","stage 10-17","Stage 10-17"
"LD16456","Nlp","FBcl0151609","stage 10-17","Zygotic"
"LD16456","Nlp","FBcl0151609","stage 10-17","Localized"
"LD16456","Nlp","FBcl0151609","stage 10-17","Expressed"
"LD16456","Nlp","FBcl0151609","stage 10-17","Tracheal lumen"
"LD16456","Nlp","FBcl0151609","stage 10-17","Salivary glands - specific region"
"LD16456","Nlp","FBcl0151609","stage 10-17","Midgut subset"
"LD16456","Nlp","FBcl0151609","stage 10-17","Midgut hindgut border"
"LD16456","Nlp","FBcl0151609","stage 10-17","Gonads"
"LD16456","Nlp","FBcl0151609","stage 10-17","Apical enrichment"
"LD16456","Nlp","FBcl0151609","stage 10-17","Specific Gonad pattern"
"LD16456","Nlp","FBcl0151609","stage 10-17","Midgut"
"LD16456","Nlp","FBcl0151609","stage 10-17","Posterior spiracles"
"LD16456","Nlp","FBcl0151609","stage 10-17","Proventriculus"
"LD16456","Nlp","FBcl0151609","stage 10-17","Fat body"
"LD16456","Nlp","FBcl0151609","stage 10-17","Germ cell nuclei"
"LD16456","Nlp","FBcl0151609","stage 10-17","Hindgut"
"LD16456","Nlp","FBcl0151609","stage 10-17","Perinuclear "rings""
"LD16456","Nlp","FBcl0151609","stage 10-17","Perinuclear around midgut nuclei"
"LD16456","Nlp","FBcl0151609","stage 10-17","Perinuclear around pole cell nuclei"
"LD16456","Nlp","FBcl0151609","stage 10-17","Apical enriched midgut"
"LD16456","Nlp","FBcl0151609","stage 10-17","Small Foci"
"LD16456","Nlp","FBcl0151609","stage 10-17","Foci"
"LD16456","Nlp","FBcl0151609","stage 10-17","Perinuclear localization"
"LD16456","Nlp","FBcl0151609","stage 10-17","Salivary glands"
"LD16456","Nlp","FBcl0151609","stage 10-17","Tracheal system"
"LD16456","Nlp","FBcl0151609","stage 10-17","Small Foci in midgut"
"GH27263","CG9109","FBcl0131339","","Annotated by Eric"
"LD17329","CG31258","FBcl0153033","","Annotated by Ronit"
"LD17730","CG7039","FBcl0156716","","Annotated by Ronit"
"LD17730","CG7039","FBcl0156716","stage 1-3","Maternal"
"LD17730","CG7039","FBcl0156716","stage 1-3","Weak expression (>41ms exp)"
"LD17730","CG7039","FBcl0156716","stage 1-3","Expressed"
"LD17730","CG7039","FBcl0156716","stage 1-3","Stage 1-3"
"LD17730","CG7039","FBcl0156716","stage 1-3","Ubiquitous"
"LD17730","CG7039","FBcl0156716","stage 4-5","Ubiquitous"
"LD17730","CG7039","FBcl0156716","stage 4-5","Stage 4-5"
"LD17730","CG7039","FBcl0156716","stage 4-5","Expressed"
"LD17730","CG7039","FBcl0156716","stage 4-5","Weak expression (>41ms exp)"
"LD17730","CG7039","FBcl0156716","stage 4-5","Maternal"
"LD17730","CG7039","FBcl0156716","stage 6-7","Weak expression (>41ms exp)"
"LD17730","CG7039","FBcl0156716","stage 6-7","Stage 6-7"
"LD17730","CG7039","FBcl0156716","stage 6-7","Expressed"
"LD17730","CG7039","FBcl0156716","stage 6-7","Ubiquitous"
"LD17730","CG7039","FBcl0156716","stage 8-9","Ubiquitous"
"LD17730","CG7039","FBcl0156716","stage 8-9","Stage 8-9"
"LD17730","CG7039","FBcl0156716","stage 8-9","Expressed"
"LD17730","CG7039","FBcl0156716","stage 8-9","Weak expression (>41ms exp)"
"LD17730","CG7039","FBcl0156716","stage 10-17","Expressed"
"LD17730","CG7039","FBcl0156716","stage 10-17","Stage 10-17"
"LD17730","CG7039","FBcl0156716","stage 10-17","Ubiquitous"
"LD21907","CG3509","FBcl0175582","","Annotated by Ronit"
"LD21907","CG3509","FBcl0175582","stage 1-3","Weak expression (>41ms exp)"
"LD21907","CG3509","FBcl0175582","stage 1-3","Maternal"
"LD21907","CG3509","FBcl0175582","stage 1-3","Stage 1-3"
"LD21907","CG3509","FBcl0175582","stage 1-3","Expressed"
"LD21907","CG3509","FBcl0175582","stage 1-3","Ubiquitous"
"LD21907","CG3509","FBcl0175582","stage 4-5","Perinuclear subset of nuclei"
"LD21907","CG3509","FBcl0175582","stage 4-5","Pole cell localization"
"LD21907","CG3509","FBcl0175582","stage 4-5","Yolk plasm localization"
"LD21907","CG3509","FBcl0175582","stage 4-5","Yolk plasm enrichment"
"LD21907","CG3509","FBcl0175582","stage 4-5","Embryonic localization patterns"
"LD21907","CG3509","FBcl0175582","stage 4-5","Perinuclear localization"
"LD21907","CG3509","FBcl0175582","stage 4-5","Nuclei-associated localization"
"LD21907","CG3509","FBcl0175582","stage 4-5","Perinuclear around pole cell nuclei"
"LD21907","CG3509","FBcl0175582","stage 4-5","Basal exclusion"
"LD21907","CG3509","FBcl0175582","stage 4-5","Pole cell enrichment"
"LD21907","CG3509","FBcl0175582","stage 4-5","Maternal"
"LD21907","CG3509","FBcl0175582","stage 4-5","Weak expression (>41ms exp)"
"LD21907","CG3509","FBcl0175582","stage 4-5","Subcellular localization patterns"
"LD21907","CG3509","FBcl0175582","stage 4-5","Localized"
"LD21907","CG3509","FBcl0175582","stage 4-5","Apical exclusion"
"LD21907","CG3509","FBcl0175582","stage 4-5","Expressed"
"LD21907","CG3509","FBcl0175582","stage 4-5","Stage 4-5"
"LD21907","CG3509","FBcl0175582","stage 4-5","Exclusionary patterns"
"LD21907","CG3509","FBcl0175582","stage 6-7","Weak expression (>41ms exp)"
"LD21907","CG3509","FBcl0175582","stage 6-7","Stage 6-7"
"LD21907","CG3509","FBcl0175582","stage 6-7","Expressed"
"LD21907","CG3509","FBcl0175582","stage 6-7","Embryonic localization patterns"
"LD21907","CG3509","FBcl0175582","stage 6-7","Pole cell localization"
"LD21907","CG3509","FBcl0175582","stage 6-7","Degraded partially stage 6"
"LD21907","CG3509","FBcl0175582","stage 6-7","Maternal"
"LD21907","CG3509","FBcl0175582","stage 6-7","Degraded"
"LD21907","CG3509","FBcl0175582","stage 6-7","Degradation maternal transcripts"
"LD21907","CG3509","FBcl0175582","stage 6-7","Localized"
"LD21907","CG3509","FBcl0175582","stage 8-9","Localized"
"LD21907","CG3509","FBcl0175582","stage 8-9","Stage 8-9"
"LD21907","CG3509","FBcl0175582","stage 8-9","Germ cell localization"
"LD21907","CG3509","FBcl0175582","stage 8-9","Degraded partially stage 9"
"LD21907","CG3509","FBcl0175582","stage 8-9","Degraded"
"LD21907","CG3509","FBcl0175582","stage 8-9","Expressed"
"LD21907","CG3509","FBcl0175582","stage 10-17","Stage 10-17"
"LD21907","CG3509","FBcl0175582","stage 10-17","Expressed"
"LD21907","CG3509","FBcl0175582","stage 10-17","Muscles-embryo"
"LD21907","CG3509","FBcl0175582","stage 10-17","Zygotic"
"LD21907","CG3509","FBcl0175582","stage 10-17","Ubiquitous"
"LD21829","CG9853","FBcl0166611","stage 1-3","Expressed"
"LD21829","CG9853","FBcl0166611","stage 1-3","Weak expression (>41ms exp)"
"LD21829","CG9853","FBcl0166611","stage 1-3","Stage 1-3"
"LD21829","CG9853","FBcl0166611","stage 1-3","Maternal"
"LD21829","CG9853","FBcl0166611","stage 4-5","Non-Expressed"
"LD21829","CG9853","FBcl0166611","stage 4-5","Stage 4-5"
"LD21829","CG9853","FBcl0166611","stage 6-7","Stage 6-7"
"LD21829","CG9853","FBcl0166611","stage 6-7","Non-Expressed"
"LD21829","CG9853","FBcl0166611","stage 8-9","Non-Expressed"
"LD21829","CG9853","FBcl0166611","stage 8-9","Stage 8-9"
"LD21829","CG9853","FBcl0166611","stage 10-17","Stage 10-17"
"LD21829","CG9853","FBcl0166611","stage 10-17","Non-Expressed"
"LD21828","CG5171","FBcl0164836","","Annotated by Ronit"
"LD21828","CG5171","FBcl0164836","stage 1-3","Non-Expressed"
"LD21828","CG5171","FBcl0164836","stage 1-3","Stage 1-3"
"LD21828","CG5171","FBcl0164836","stage 4-5","Stage 4-5"
"LD21828","CG5171","FBcl0164836","stage 4-5","Non-Expressed"
"LD21828","CG5171","FBcl0164836","stage 6-7","Zygotic starting stage 6"
"LD21828","CG5171","FBcl0164836","stage 6-7","Random yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 6-7","Stage 6-7"
"LD21828","CG5171","FBcl0164836","stage 6-7","Subcellular localization patterns"
"LD21828","CG5171","FBcl0164836","stage 6-7","Weak expression (>41ms exp)"
"LD21828","CG5171","FBcl0164836","stage 6-7","Perinuclear subset of nuclei"
"LD21828","CG5171","FBcl0164836","stage 6-7","Localized"
"LD21828","CG5171","FBcl0164836","stage 6-7","Subset yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 6-7","Zygotic"
"LD21828","CG5171","FBcl0164836","stage 6-7","Expressed"
"LD21828","CG5171","FBcl0164836","stage 6-7","Yolk Nuclei"
"LD21828","CG5171","FBcl0164836","stage 6-7","Perinuclear localization"
"LD21828","CG5171","FBcl0164836","stage 6-7","Nuclei-associated localization"
"LD21828","CG5171","FBcl0164836","stage 6-7","Perinuclear around yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 8-9","Stage 8-9"
"LD21828","CG5171","FBcl0164836","stage 8-9","Localized"
"LD21828","CG5171","FBcl0164836","stage 8-9","Perinuclear localization"
"LD21828","CG5171","FBcl0164836","stage 8-9","Nuclei-associated localization"
"LD21828","CG5171","FBcl0164836","stage 8-9","Other subcellular pattern"
"LD21828","CG5171","FBcl0164836","stage 8-9","Subcellular localization patterns"
"LD21828","CG5171","FBcl0164836","stage 8-9","Subset yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 8-9","Random yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 8-9","Perinuclear around yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 8-9","Yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 8-9","Expressed"
"LD21828","CG5171","FBcl0164836","stage 8-9","Zygotic"
"LD21828","CG5171","FBcl0164836","stage 10-17","Zygotic"
"LD21828","CG5171","FBcl0164836","stage 10-17","Subcellular localization patterns"
"LD21828","CG5171","FBcl0164836","stage 10-17","Stage 10-17"
"LD21828","CG5171","FBcl0164836","stage 10-17","Expressed"
"LD21828","CG5171","FBcl0164836","stage 10-17","Localized"
"LD21828","CG5171","FBcl0164836","stage 10-17","Midgut"
"LD21828","CG5171","FBcl0164836","stage 10-17","Yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 10-17","Perinuclear around yolk nuclei"
"LD21828","CG5171","FBcl0164836","stage 10-17","Yolk nuclei "podia""
"LD21828","CG5171","FBcl0164836","stage 10-17","Cell extensions or "podia""
"LD21828","CG5171","FBcl0164836","stage 10-17","Membrane associated"
"LD21828","CG5171","FBcl0164836","stage 10-17","Perinuclear localization"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","","Annotated by Ronit"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 1-3","Weak expression (>41ms exp)"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 1-3","Maternal"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 1-3","Stage 1-3"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 1-3","Expressed"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 1-3","Ubiquitous"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 4-5","Degraded completely stage 5"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 4-5","Degradation maternal transcripts"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 4-5","Degraded partially stage 4"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 4-5","Non-Expressed"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 4-5","Degraded"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 4-5","Stage 4-5"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 6-7","Stage 6-7"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 6-7","Non-Expressed"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 8-9","Stage 8-9"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 8-9","Non-Expressed"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 10-17","Non-Expressed"
"LD21729","Trxr-1 (LD21729)","FBcl0172902","stage 10-17","Stage 10-17"
"LD22559","CG18012","FBcl0171105","","Annotated by Ronit"
"LD22559","CG18012","FBcl0171105","stage 1-3","Weak expression (>41ms exp)"
"LD22559","CG18012","FBcl0171105","stage 1-3","Stage 1-3"
"LD22559","CG18012","FBcl0171105","stage 1-3","Maternal"
"LD22559","CG18012","FBcl0171105","stage 1-3","Expressed"
"LD22559","CG18012","FBcl0171105","stage 1-3","Ubiquitous"
"LD22559","CG18012","FBcl0171105","stage 4-5","Subcellular localization patterns"
"LD22559","CG18012","FBcl0171105","stage 4-5","Stage 4-5"
"LD22559","CG18012","FBcl0171105","stage 4-5","Expressed"
"LD22559","CG18012","FBcl0171105","stage 4-5","Pole cell exclusion"
"LD22559","CG18012","FBcl0171105","stage 4-5","Exclusionary patterns"
"LD22559","CG18012","FBcl0171105","stage 4-5","Weak expression (>41ms exp)"
"LD22559","CG18012","FBcl0171105","stage 4-5","Maternal"
"LD22559","CG18012","FBcl0171105","stage 4-5","Localized"
"LD22559","CG18012","FBcl0171105","stage 4-5","Embryonic localization patterns"
"LD22559","CG18012","FBcl0171105","stage 4-5","Basal exclusion"
"LD22559","CG18012","FBcl0171105","stage 6-7","Stage 6-7"
"LD22559","CG18012","FBcl0171105","stage 6-7","Weak expression (>41ms exp)"
"LD22559","CG18012","FBcl0171105","stage 6-7","Expressed"
"LD22559","CG18012","FBcl0171105","stage 6-7","Localized"
"LD22559","CG18012","FBcl0171105","stage 6-7","Embryonic localization patterns"
"LD22559","CG18012","FBcl0171105","stage 6-7","Basal localization"
"LD22559","CG18012","FBcl0171105","stage 6-7","Pole cell exclusion"
"LD22559","CG18012","FBcl0171105","stage 6-7","Basal enrichment"
"LD22559","CG18012","FBcl0171105","stage 6-7","Exclusionary patterns"
"LD22559","CG18012","FBcl0171105","stage 6-7","Exclusionary patterns"
"LD22559","CG18012","FBcl0171105","stage 6-7","Subcellular localization patterns"
"LD22559","CG18012","FBcl0171105","stage 10-17","Zygotic"
"LD22559","CG18012","FBcl0171105","stage 10-17","Expressed"
"LD22559","CG18012","FBcl0171105","stage 10-17","Stage 10-17"
"LD22559","CG18012","FBcl0171105","stage 10-17","Salivary glands"
"LD22559","CG18012","FBcl0171105","stage 10-17","Salivary glands lumen"
"LD22559","CG18012","FBcl0171105","stage 10-17","Fat body"
"LD22559","CG18012","FBcl0171105","stage 10-17","Midgut"
"LD22317","CG11784","FBcl0176198","","Annotated by Ronit"
"LD22317","CG11784","FBcl0176198","stage 1-3","Weak expression (>41ms exp)"
"LD22317","CG11784","FBcl0176198","stage 1-3","Stage 1-3"
"LD22317","CG11784","FBcl0176198","stage 1-3","Maternal"
"LD22317","CG11784","FBcl0176198","stage 1-3","Expressed"
"LD22317","CG11784","FBcl0176198","stage 1-3","Ubiquitous"
"LD22317","CG11784","FBcl0176198","stage 4-5","Stage 4-5"
"LD22317","CG11784","FBcl0176198","stage 4-5","Non-Expressed"
"LD22317","CG11784","FBcl0176198","stage 6-7","Stage 6-7"
"LD22317","CG11784","FBcl0176198","stage 6-7","Degraded"
"LD22317","CG11784","FBcl0176198","stage 6-7","Degraded partially stage 7"
"LD22317","CG11784","FBcl0176198","stage 6-7","Degradation maternal transcripts"
"LD22317","CG11784","FBcl0176198","stage 6-7","Non-Expressed"
"LD22317","CG11784","FBcl0176198","stage 8-9","Non-Expressed"
"LD22317","CG11784","FBcl0176198","stage 8-9","Degraded"
"LD22317","CG11784","FBcl0176198","stage 8-9","Stage 8-9"
"LD22317","CG11784","FBcl0176198","stage 8-9","Degradation maternal transcripts"
"LD22317","CG11784","FBcl0176198","stage 8-9","Degraded completely stage 9"
"LD22317","CG11784","FBcl0176198","stage 10-17","Stage 10-17"
"LD22317","CG11784","FBcl0176198","stage 10-17","Non-Expressed"
"LD22010","CG11583","FBcl0165068","","Annotated by Ronit"
"LD22010","CG11583","FBcl0165068","stage 1-3","Weak expression (>41ms exp)"
"LD22010","CG11583","FBcl0165068","stage 1-3","Expressed"
"LD22010","CG11583","FBcl0165068","stage 1-3","Maternal"
"LD22010","CG11583","FBcl0165068","stage 1-3","Stage 1-3"
"LD22010","CG11583","FBcl0165068","stage 1-3","Pole plasm excluded"
"LD22010","CG11583","FBcl0165068","stage 1-3","Ubiquitous"
"LD22010","CG11583","FBcl0165068","stage 1-3","Exclusionary patterns"
"LD22010","CG11583","FBcl0165068","stage 1-3","Localized"
"LD22010","CG11583","FBcl0165068","stage 1-3","Embryonic localization patterns"
"LD22010","CG11583","FBcl0165068","stage 4-5","Localized"
"LD22010","CG11583","FBcl0165068","stage 4-5","Subcellular localization patterns"
"LD22010","CG11583","FBcl0165068","stage 4-5","Exclusionary patterns"
"LD22010","CG11583","FBcl0165068","stage 4-5","Pole cell exclusion"
"LD22010","CG11583","FBcl0165068","stage 4-5","Stage 4-5"
"LD22010","CG11583","FBcl0165068","stage 4-5","Expressed"
"LD22010","CG11583","FBcl0165068","stage 4-5","Embryonic localization patterns"
"LD22010","CG11583","FBcl0165068","stage 4-5","Weak expression (>41ms exp)"
"LD22010","CG11583","FBcl0165068","stage 4-5","Maternal"
"LD22010","CG11583","FBcl0165068","stage 6-7","Weak expression (>41ms exp)"
"LD22010","CG11583","FBcl0165068","stage 6-7","Stage 6-7"
"LD22010","CG11583","FBcl0165068","stage 6-7","Ubiquitous"
"LD22010","CG11583","FBcl0165068","stage 6-7","Expressed"
"LD22010","CG11583","FBcl0165068","stage 8-9","Degraded partially stage 9"
"LD22010","CG11583","FBcl0165068","stage 8-9","Weak expression (>41ms exp)"
"LD22010","CG11583","FBcl0165068","stage 8-9","Degraded"
"LD22010","CG11583","FBcl0165068","stage 8-9","Stage 8-9"
"LD22010","CG11583","FBcl0165068","stage 8-9","Expressed"
"LD22010","CG11583","FBcl0165068","stage 8-9","Ubiquitous"
"LD22010","CG11583","FBcl0165068","stage 10-17","Brain"
"LD22010","CG11583","FBcl0165068","stage 10-17","Zygotic"
"LD22010","CG11583","FBcl0165068","stage 10-17","Localized"
"LD22010","CG11583","FBcl0165068","stage 10-17","Expressed"
"LD22010","CG11583","FBcl0165068","stage 10-17","Subcellular localization patterns"
"LD22010","CG11583","FBcl0165068","stage 10-17","Stage 10-17"
"LD22010","CG11583","FBcl0165068","stage 10-17","Small Foci in muscle cells"
"LD22010","CG11583","FBcl0165068","stage 10-17","Fat body"
"LD22010","CG11583","FBcl0165068","stage 10-17","Small Foci"
"LD22010","CG11583","FBcl0165068","stage 10-17","Foci"
"LD22010","CG11583","FBcl0165068","stage 10-17","Visceral mesoderm"
"LD22010","CG11583","FBcl0165068","stage 10-17","Tracheal lumen"
"LD22010","CG11583","FBcl0165068","stage 10-17","Muscles-embryo"
"LD22010","CG11583","FBcl0165068","stage 10-17","Posterior spiracles"
"LD22010","CG11583","FBcl0165068","stage 10-17","Specific posterior spiracle pattern"
"LD22010","CG11583","FBcl0165068","stage 10-17","Muscles - subregion"
"LD22010","CG11583","FBcl0165068","stage 10-17","Fat body- specific region"
"LD22010","CG11583","FBcl0165068","stage 10-17","Tracheal system"
"LD21957","CG5220","FBcl0171667","","Annotated by Ronit"
"LD21957","CG5220","FBcl0171667","stage 1-3","Weak expression (>41ms exp)"
"LD21957","CG5220","FBcl0171667","stage 1-3","Maternal"
"LD21957","CG5220","FBcl0171667","stage 1-3","Stage 1-3"
"LD21957","CG5220","FBcl0171667","stage 1-3","Expressed"
"LD21957","CG5220","FBcl0171667","stage 1-3","Ubiquitous"
"LD21957","CG5220","FBcl0171667","stage 4-5","Ubiquitous"
"LD21957","CG5220","FBcl0171667","stage 4-5","Weak expression (>41ms exp)"
"LD21957","CG5220","FBcl0171667","stage 4-5","Stage 4-5"
"LD21957","CG5220","FBcl0171667","stage 4-5","Expressed"
"LD21957","CG5220","FBcl0171667","stage 6-7","Stage 6-7"
"LD21957","CG5220","FBcl0171667","stage 6-7","Weak expression (>41ms exp)"
"LD21957","CG5220","FBcl0171667","stage 6-7","Expressed"
"LD21957","CG5220","FBcl0171667","stage 6-7","Ubiquitous"
"LD21957","CG5220","FBcl0171667","stage 8-9","Ubiquitous"
"LD21957","CG5220","FBcl0171667","stage 8-9","Expressed"
"LD21957","CG5220","FBcl0171667","stage 8-9","Stage 8-9"
"LD21957","CG5220","FBcl0171667","stage 8-9","Weak expression (>41ms exp)"
"LD21957","CG5220","FBcl0171667","stage 10-17","Stage 10-17"
"LD21957","CG5220","FBcl0171667","stage 10-17","Expressed"
"LD21957","CG5220","FBcl0171667","stage 10-17","Ubiquitous"
"LD22716","MESR6","FBcl0166365","","Annotated by Ronit"
"LD22716","MESR6","FBcl0166365","stage 1-3","Weak expression (>41ms exp)"
"LD22716","MESR6","FBcl0166365","stage 1-3","Expressed"
"LD22716","MESR6","FBcl0166365","stage 1-3","Maternal"
"LD22716","MESR6","FBcl0166365","stage 1-3","Stage 1-3"
"LD22716","MESR6","FBcl0166365","stage 1-3","Ubiquitous"
"LD22716","MESR6","FBcl0166365","stage 4-5","Ubiquitous"
"LD22716","MESR6","FBcl0166365","stage 4-5","Stage 4-5"
"LD22716","MESR6","FBcl0166365","stage 4-5","Expressed"
"LD22716","MESR6","FBcl0166365","stage 4-5","Weak expression (>41ms exp)"
"LD22716","MESR6","FBcl0166365","stage 4-5","Maternal"
"LD22716","MESR6","FBcl0166365","stage 6-7","Weak expression (>41ms exp)"
"LD22716","MESR6","FBcl0166365","stage 6-7","Stage 6-7"
"LD22716","MESR6","FBcl0166365","stage 6-7","Subcellular localization patterns"
"LD22716","MESR6","FBcl0166365","stage 6-7","Cytoplasmic foci"
"LD22716","MESR6","FBcl0166365","stage 6-7","Embryonic localization patterns"
"LD22716","MESR6","FBcl0166365","stage 6-7","Expressed"
"LD22716","MESR6","FBcl0166365","stage 6-7","Localized"
"LD22716","MESR6","FBcl0166365","stage 6-7","Membrane associated"
"LD22716","MESR6","FBcl0166365","stage 6-7","Basal enrichment"
"LD22716","MESR6","FBcl0166365","stage 6-7","Basal localization"
"LD22716","MESR6","FBcl0166365","stage 8-9","Stage 8-9"
"LD22716","MESR6","FBcl0166365","stage 8-9","Degraded partially stage 9"
"LD22716","MESR6","FBcl0166365","stage 8-9","Basal enrichment"
"LD22716","MESR6","FBcl0166365","stage 8-9","Degraded"
"LD22716","MESR6","FBcl0166365","stage 8-9","Expressed"
"LD22716","MESR6","FBcl0166365","stage 8-9","Ubiquitous"
"LD22716","MESR6","FBcl0166365","stage 8-9","Subcellular localization patterns"
"LD22716","MESR6","FBcl0166365","stage 8-9","Localized"
"LD22716","MESR6","FBcl0166365","stage 8-9","Basal localization"
"LD22716","MESR6","FBcl0166365","stage 10-17","Ubiquitous"
"LD22716","MESR6","FBcl0166365","stage 10-17","Expressed"
"LD22716","MESR6","FBcl0166365","stage 10-17","Stage 10-17"
"LD22661","CG12264","FBcl0167282","stage 1-3","Ubiquitous"
"LD22661","CG12264","FBcl0167282","stage 1-3","Maternal"
"LD22661","CG12264","FBcl0167282","stage 1-3","Stage 1-3"
"LD22661","CG12264","FBcl0167282","stage 1-3","Weak expression (>41ms exp)"
"LD22661","CG12264","FBcl0167282","stage 1-3","Expressed"
"LD22661","CG12264","FBcl0167282","stage 4-5","Degradation maternal transcripts"
"LD22661","CG12264","FBcl0167282","stage 4-5","Degraded partially stage 5"
"LD22661","CG12264","FBcl0167282","stage 4-5","Maternal"
"LD22661","CG12264","FBcl0167282","stage 4-5","Expressed"
"LD22661","CG12264","FBcl0167282","stage 4-5","Stage 4-5"
"LD22661","CG12264","FBcl0167282","stage 4-5","Degraded"
"LD22661","CG12264","FBcl0167282","stage 4-5","Ubiquitous"
"LD22661","CG12264","FBcl0167282","stage 6-7","Non-Expressed"
"LD22661","CG12264","FBcl0167282","stage 6-7","Stage 6-7"
"LD22661","CG12264","FBcl0167282","stage 8-9","Stage 8-9"
"LD22661","CG12264","FBcl0167282","stage 8-9","Non-Expressed"
"LD22661","CG12264","FBcl0167282","stage 10-17","Non-Expressed"
"LD22661","CG12264","FBcl0167282","stage 10-17","Stage 10-17"
"LD33876","CG5037","FBcl0178587","stage 1-3","Ubiquitous"
"LD33876","CG5037","FBcl0178587","stage 1-3","Stage 1-3"
"LD33876","CG5037","FBcl0178587","stage 1-3","Maternal"
"LD33876","CG5037","FBcl0178587","stage 1-3","Expressed"
"LD33876","CG5037","FBcl0178587","stage 1-3","Degradation maternal transcripts"
"LD33876","CG5037","FBcl0178587","stage 1-3","Degraded partially stage 3"
"LD33876","CG5037","FBcl0178587","stage 1-3","Degraded"
"LD33876","CG5037","FBcl0178587","stage 1-3","Weak expression (>41ms exp)"
"LD33876","CG5037","FBcl0178587","stage 4-5","Degraded"
"LD33876","CG5037","FBcl0178587","stage 4-5","Expressed"
"LD33876","CG5037","FBcl0178587","stage 4-5","Stage 4-5"
"LD33876","CG5037","FBcl0178587","stage 4-5","Maternal"
"LD33876","CG5037","FBcl0178587","stage 4-5","Degraded partially stage 4"
"LD33876","CG5037","FBcl0178587","stage 4-5","Degraded completely stage 5"
"LD33876","CG5037","FBcl0178587","stage 4-5","Degradation maternal transcripts"
"LD33876","CG5037","FBcl0178587","stage 4-5","Ubiquitous"
"LD33876","CG5037","FBcl0178587","stage 6-7","Non-Expressed"
"LD33876","CG5037","FBcl0178587","stage 6-7","Stage 6-7"
"LD33876","CG5037","FBcl0178587","stage 8-9","Stage 8-9"
"LD33876","CG5037","FBcl0178587","stage 8-9","Non-Expressed"
"LD14743","sqh","FBcl0151306","","Annotated by Ronit"
"LD14743","sqh","FBcl0151306","stage 1-3","Expressed"
"LD14743","sqh","FBcl0151306","stage 1-3","Maternal"
"LD14743","sqh","FBcl0151306","stage 1-3","Medium expression (21-40ms exp)"
"LD14743","sqh","FBcl0151306","stage 1-3","Stage 1-3"
"LD14743","sqh","FBcl0151306","stage 1-3","Ubiquitous"
"LD14743","sqh","FBcl0151306","stage 4-5","Ubiquitous"
"LD14743","sqh","FBcl0151306","stage 4-5","Maternal"
"LD14743","sqh","FBcl0151306","stage 4-5","Medium expression (21-40ms exp)"
"LD14743","sqh","FBcl0151306","stage 4-5","Expressed"
"LD14743","sqh","FBcl0151306","stage 4-5","Stage 4-5"
